VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,Time Duration
2,1/4/2015 13:44,1/4/2015 13:53,1,1.39,-73.98625183,40.73043823,1,N,-73.99121857,40.74216843,cash,7.5,0,0.5,0,0,0.3,8.3,0:09
2,1/15/2015 14:00,1/15/2015 14:11,1,1.64,-73.9837265,40.74634171,1,N,-73.96679688,40.76140594,cash,8.5,0,0.5,0,0,0.3,9.3,0:11
2,1/15/2015 14:00,1/15/2015 14:19,1,1.53,-73.99578094,40.73294067,1,N,-73.99107361,40.75038147,cash,12,0,0.5,0,0,0.3,12.8,0:19
2,1/15/2015 14:00,1/15/2015 14:31,5,7.48,-73.87081909,40.77370071,1,N,-73.96869659,40.76268005,cash,27,0,0.5,0,0,0.3,27.8,0:31
2,1/15/2015 14:00,1/15/2015 14:13,1,3,-73.96427155,40.7730217,1,N,-73.96577454,40.80466843,cash,12,0,0.5,0,0,0.3,12.8,0:13
2,1/15/2015 14:00,1/15/2015 14:05,1,0.67,-73.97093201,40.79592133,1,N,-73.97016907,40.78912354,credit card,5,0,0.5,1,0,0.3,6.8,0:05
2,1/15/2015 14:00,1/15/2015 14:20,1,1.51,-73.97212219,40.75902939,1,N,-73.99093628,40.7557373,credit card,13,0,0.5,2.6,0,0.3,16.4,0:20
2,1/15/2015 14:00,1/15/2015 14:05,2,0.85,-73.98056793,40.7656517,1,N,-73.97304535,40.75827026,cash,5.5,0,0.5,0,0,0.3,6.3,0:05
2,1/15/2015 14:00,1/15/2015 14:58,1,15.2,-73.8012619,40.66772842,2,N,-73.9933548,40.75600052,credit card,52,0,0.5,14.33,5.33,0.3,72.46,0:58
2,1/15/2015 14:00,1/15/2015 14:41,3,9.96,-73.99095917,40.74534225,1,N,-73.97360229,40.63248062,cash,35.5,0,0.5,0,0,0.3,36.3,0:41
2,1/15/2015 14:00,1/15/2015 14:04,1,0.76,-73.96351624,40.77156067,1,N,-73.95298767,40.77246094,credit card,5,0,0.5,1,0,0.3,6.8,0:04
